Nombre Comunidad Autónoma,Nombre Provincia,Nombre municipio,Número de observaciones muestrales,Población (INE),Población declarante (IRPF),Renta imponible agregada (IRPF),Renta imponible media (por declarante),Renta imponible media (por habitante),Renta mediana,Índice de Gini ,"Índice de Atkinson 0,5",Top 1%,"Top 0,5%","Top 0,1%",Quintil 1,Quintil 2,Quintil 3,Quintil 4,Quintil 5,COD_INE_CAPITAL,LATITUD_ETRS89,LONGITUD_ETRS89,Porcentaje de Poblacion Declarante
Andalucía,Granada,Cúllar Vega,145.0,6212.0,2808.0,54039623.04000001,19244.88,8699.231010946556,14090.03,0.48315636,0.23586879,15.82063,12.89882,3.629919,3.043828,9.597304,14.60534,21.39853,51.355,18057,37.15344636,-3.67166338,0.45202833226014166
Andalucía,Granada,Dúrcal,248.0,7023.0,2638.0,37801352.9,14329.55,5382.507888366795,12225.92,0.42694463,0.16853773,7.851431,4.598181,0.8674307,3.772929,10.29641,17.11094,22.92423,45.8955,18071,36.988116999999995,-3.56634078,0.3756229531539228
Andalucía,Granada,"Gabias, Las",580.0,13950.0,7023.0,123844986.60000001,17634.2,8877.776817204302,13802.51,0.40392987,0.15903349,8.496075,5.961247,3.009829,3.865381,11.80068,15.87917,21.74848,46.70629,18905,37.13643395,-3.66739217,0.5034408602150537
Andalucía,Granada,Granada,8677.0,236207.0,105834.0,2535216428.1000004,23954.65,10733.028352673717,18126.7,0.47469182,0.20841939,10.18808,7.414599,3.343231,2.836844,9.215469,15.13655,22.81471,49.99642,18087,37.17641932,-3.60001883,0.44805615413599087
Andalucía,Granada,Guadix,807.0,20307.0,7151.0,118945443.4,16633.4,5857.361668390211,13136.37,0.48359323,0.22515742,13.69278,9.935452,3.550891,3.133135,9.555113,15.04512,20.94991,51.31673,18089,37.30161072,-3.13638082,0.3521445806864628
Andalucía,Granada,Huéscar,390.0,8236.0,3045.0,38217460.05,12550.89,4640.2938380281685,9071.7,0.45078056,0.17977246,5.73337,3.339365,1.309452,3.052995,8.350759,15.14633,25.08541,48.36451,18098,37.80977052,-2.54009537,0.36971830985915494
Andalucía,Granada,Huétor Tájar,405.0,9467.0,3521.0,43203937.56,12270.36,4563.635529734869,10426.33,0.47395305,0.20848767,9.067225,5.753435,1.159828,2.755668,8.300676,16.13864,23.39809,49.40693,18100,37.19468512,-4.04716859,0.3719235238195838
Andalucía,Granada,Huétor Vega,431.0,10900.0,4877.0,109084834.4,22367.2,10007.782972477065,15543.57,0.44949027,0.18140836,9.449291,6.509507,1.990886,3.455595,10.20497,14.52605,22.97713,48.83625,18101,37.14461301,-3.57174084,0.4474311926605505
Andalucía,Granada,Illora,500.0,10390.0,3738.0,42252557.76,11303.52,4066.65618479307,7832.71,0.48610614,0.21018066,9.781145,5.64787,0.9565844,2.911063,8.171772,14.18156,23.04367,51.69193,18102,37.28611488,-3.88172313,0.35976900866217515
Andalucía,Granada,Iznalloz,299.0,7054.0,2204.0,23814903.24,10805.31,3376.0849503827612,9874.59,0.4185427,0.16970974,4.549976,2.622713,0.7271511,2.458252,9.436936,18.0402,25.8608,44.2038,18105,37.39201995,-3.53095401,0.3124468386730933
Andalucía,Granada,Loja,933.0,21341.0,8287.0,109204014.25,13177.75,5117.099210439998,10930.92,0.4597169,0.18756999,5.924863,3.520109,1.206896,3.162384,8.435773,16.08527,23.6514,48.66517,18122,37.16628219,-4.15218743,0.388313574809053
Andalucía,Granada,Maracena,716.0,19659.0,8378.0,140828231.62,16809.29,7163.550110382013,13264.08,0.41431037,0.16030831,6.652822,4.472844,2.13697,3.682478,11.06465,15.90163,23.17479,46.17646,18127,37.20723971,-3.63439797,0.42616613256015057
Andalucía,Granada,Monachil,316.0,6270.0,2827.0,57607814.440000005,20377.72,9187.849192982458,14124.11,0.45845677,0.19182924,9.902018,5.137418,0.7339169,3.572798,10.30966,14.31385,20.20548,51.59821,18134,37.13135337,-3.53893588,0.45087719298245615
Andalucía,Granada,Montefrío,370.0,6400.0,2519.0,23482344.71,9322.09,3669.1163609375003,6699.23,0.47354113,0.20638009,7.232589,5.235632,3.289727,2.696299,8.620317,14.59792,24.08062,50.00484,18135,37.32104934,-4.01052383,0.39359375
Andalucía,Granada,Motril,2057.0,58501.0,22454.0,395412919.14,17609.91,6759.079659151125,13582.65,0.46168415,0.2049803,11.98676,8.652979,4.187971,3.127598,9.661625,15.23218,21.56923,50.40937,18140,36.74574584,-3.52123441,0.38382249876070496
Andalucía,Granada,Ogíjares,484.0,12145.0,5949.0,125685117.89999999,21127.1,10348.71287772746,15012.55,0.42328338,0.16283726,7.686964,5.13278,1.400262,4.423511,10.99359,14.79405,23.63247,46.15637,18145,37.11925921,-3.60924803,0.4898312062577192
Andalucía,Granada,Órgiva,203.0,5508.0,1800.0,25498998.0,14166.11,4629.4477124183,9678.84,0.55702125,0.29066848,17.11196,13.3699,2.773226,1.673352,6.032672,13.3255,21.04292,57.92555,18147,36.90119925,-3.42391088,0.32679738562091504
Andalucía,Granada,Otura,223.0,5883.0,2632.0,59889870.31999999,22754.51,10180.158137004928,17499.45,0.42639611,0.16674638,6.065014,3.897817,0.8840443,3.310459,10.5672,15.48825,23.43361,47.20049,18149,37.09360821,-3.63448477,0.44739078701342855
Andalucía,Granada,Padul,287.0,7961.0,3056.0,48264355.36,15793.31,6062.599593015952,12929.26,0.41133251,0.15467731,6.90863,3.399664,0.4856662,4.459424,11.53206,16.33717,21.8153,45.85604,18150,37.02421644,-3.62445156,0.3838713729430976
Andalucía,Granada,Peligros,358.0,10597.0,4567.0,84026680.22,18398.66,7929.289442294989,17257.22,0.3805541,0.1398539,5.453758,3.335619,1.144018,3.853923,11.85992,17.99498,24.4781,41.81309,18153,37.23111512,-3.62811576,0.43097102953666133
Andalucía,Granada,Pinos Puente,434.0,13540.0,3924.0,49194677.88,12536.87,3633.2849246676515,10636.02,0.44497583,0.18678205,6.083385,3.655921,0.7124652,2.666178,8.79871,17.22168,24.84773,46.46569,18158,37.25412074,-3.74737519,0.289807976366322
Andalucía,Granada,Salobreña,422.0,12288.0,4308.0,69226630.56,16069.32,5633.6776171875,13066.03,0.48870854,0.24343721,16.37291,12.92522,3.900267,2.52156,9.066193,15.72286,21.12076,51.56863,18173,36.74331277,-3.58852615,0.3505859375
Andalucía,Granada,Santa Fe,504.0,14934.0,5258.0,87376865.61999999,16617.89,5850.868194723449,13025.94,0.44241374,0.18894596,11.25101,8.165072,3.432361,3.999058,10.88039,15.56154,21.36969,48.18932,18175,37.18938734,-3.71896428,0.3520824963171287
Andalucía,Granada,Vegas del Genil,165.0,7224.0,3798.0,61155699.839999996,16102.08,8465.628438538206,13808.02,0.3893722,0.136839,4.077334,2.325035,0.7116808,4.229328,10.83849,17.13835,24.24492,43.54892,18911,37.17238201,-3.66575944,0.5257475083056479
Andalucía,Granada,"Zubia, La",535.0,16941.0,7083.0,141332057.1,19953.7,8342.604161501682,16023.46,0.41080883,0.15818444,7.210214,4.510326,1.60408,3.757098,11.06364,16.43281,23.30008,45.44638,18193,37.12087703,-3.58508159,0.4180981051885957
Andalucía,Huelva,Aljaraque,764.0,16368.0,7558.0,182316192.23999998,24122.28,11138.574794721406,18724.11,0.43812481,0.17673857,9.285019,6.637948,1.843909,3.561114,9.883569,15.62375,22.96392,47.96766,21002,37.2723312,-7.02327311,0.4617546432062561
Andalucía,Huelva,Almonte,869.0,20726.0,6763.0,96203269.22,14224.94,4641.670810576088,10734.72,0.47615044,0.20744846,9.671506,6.677366,2.78425,2.935464,9.028938,15.01461,21.45077,51.57022,21005,37.26252304,-6.51747768,0.32630512399884204
Andalucía,Huelva,Aracena,406.0,7351.0,2851.0,44910063.89,15752.39,6109.381565773364,12560.95,0.46669708,0.19783378,7.488315,4.344499,0.921202,3.201286,9.593591,15.5063,22.67488,49.02395,21007,37.8894945,-6.56158282,0.3878383893347844
Andalucía,Huelva,Ayamonte,833.0,19380.0,6975.0,106571304.0,15279.04,5499.035294117647,11384.26,0.47930384,0.22071322,10.7368,8.043422,4.843115,2.940602,8.957852,14.86455,22.59418,50.64282,21010,37.22437276,-7.40543973,0.35990712074303405
Andalucía,Huelva,Bollullos Par del Condado,724.0,13737.0,5085.0,64207684.8,12626.88,4674.068923345709,8949.15,0.48771064,0.21224246,7.723714,4.883568,1.959799,2.541772,8.207143,14.61964,23.16718,51.46426,21013,37.33626979,-6.53535271,0.3701681589866783
